monthly_income,income_variability,income_regularity,income_sources,monthly_transaction_count,average_transaction_value,transaction_consistency,digital_payment_ratio,electricity_payment_consistency,mobile_payment_consistency,rent_payment_consistency,average_payment_delay,on_time_payment_ratio,monthly_savings,savings_ratio,upi_activity_months,digital_activity_months,transaction_history_months,age_group,gender,income_group,occupation_category,repayment_probability,repayment_outcome
81211.52,0.3571,0.6859,1,72,562.88,0.4422,0.6296,0.4105,0.4145,0.3751,25.86,0.4,18077.82,0.2226,16,25,11,25-34,Male,Upper Middle (>80k),Informal MSME / Shopkeeper,0.5093,0
38386.95,0.3556,0.7811,1,51,150.0,0.8328,0.919,0.7588,0.7059,0.7619,16.97,0.7422,9118.1,0.2375,12,17,7,50+,Male,Middle Income (30k-80k),Freelancer / Creator,0.9291,1
21073.32,0.538,0.5901,1,49,316.8,0.7875,0.7211,0.6107,0.605,0.5846,16.36,0.6001,3855.2,0.1829,30,41,29,35-49,Male,Low Income (<30k),Student / First-time Earner,0.78,1
20241.36,0.5698,0.3934,2,50,150.0,0.6253,0.8526,0.4833,0.4628,0.5389,19.0,0.495,3416.4,0.1688,44,57,41,25-34,Female,Low Income (<30k),Gig Worker / Delivery,0.7312,0
97645.48,0.3257,0.7966,2,76,619.13,0.6392,0.7904,0.8243,0.7617,0.7833,9.37,0.7898,32555.03,0.3334,17,26,17,<25,Female,Upper Middle (>80k),Informal MSME / Shopkeeper,0.9537,1
42660.56,0.3698,0.6307,1,64,255.21,0.5799,0.8096,0.5518,0.5354,0.5609,16.01,0.5493,9545.55,0.2238,36,50,33,<25,Female,Middle Income (30k-80k),Salaried Entry-level,0.7932,1
46162.77,0.4617,0.4437,4,61,523.42,0.5327,0.5522,0.4963,0.4292,0.4255,19.35,0.4503,11675.3,0.2529,28,30,28,<25,Female,Middle Income (30k-80k),Salaried Entry-level,0.6896,1
31200.49,0.4782,0.5268,2,49,276.61,0.215,0.7587,0.6449,0.5981,0.5326,15.31,0.5919,5866.82,0.188,10,22,7,35-49,Male,Middle Income (30k-80k),Freelancer / Creator,0.7247,1
72524.96,0.1773,0.8873,1,74,600.93,0.7602,0.8583,0.6272,0.5641,0.6241,14.78,0.6051,19890.79,0.2743,12,15,10,25-34,Male,Middle Income (30k-80k),Informal MSME / Shopkeeper,0.9485,1
69131.63,0.6689,0.4616,1,69,416.42,0.6262,0.5689,0.7006,0.6165,0.5783,13.74,0.6318,12282.45,0.1777,56,63,54,35-49,Female,Middle Income (30k-80k),Freelancer / Creator,0.6487,0
42361.89,0.3747,0.6429,2,48,310.24,0.7794,0.5097,0.4529,0.4936,0.5385,26.61,0.495,9101.0,0.2148,40,55,38,<25,Female,Middle Income (30k-80k),Freelancer / Creator,0.8247,1
12000.0,0.5163,0.4908,1,45,150.0,0.666,0.8523,0.5975,0.6253,0.5384,19.95,0.587,1988.36,0.1657,30,41,28,50+,Female,Low Income (<30k),Student / First-time Earner,0.831,0
12000.0,0.2199,0.8877,1,48,150.0,0.8132,0.7748,0.5251,0.5734,0.5843,16.47,0.561,2780.93,0.2317,9,21,8,35-49,Non-Binary/Other,Low Income (<30k),Student / First-time Earner,0.9121,1
27181.23,0.3607,0.7678,1,47,451.02,0.8301,0.9458,0.6675,0.671,0.6469,14.11,0.6618,5092.96,0.1874,44,55,42,<25,Male,Low Income (<30k),Salaried Entry-level,0.9074,0
60006.54,0.3706,0.6222,2,64,526.37,0.5157,0.7333,0.6463,0.7332,0.7002,11.07,0.6932,23730.07,0.3955,15,30,14,<25,Male,Middle Income (30k-80k),Freelancer / Creator,0.9159,1
34106.34,0.2682,0.8093,1,61,196.44,0.5974,0.6603,0.4623,0.3996,0.4934,21.72,0.4518,5043.64,0.1479,20,25,16,<25,Male,Middle Income (30k-80k),Salaried Entry-level,0.7476,0
23536.72,0.3257,0.7217,2,59,150.0,0.6544,0.7131,0.6483,0.6361,0.606,13.46,0.6301,5223.93,0.2219,13,19,9,25-34,Male,Low Income (<30k),Gig Worker / Delivery,0.8923,1
22699.68,0.3507,0.6414,4,53,226.15,0.7167,0.943,0.4946,0.42,0.4867,19.33,0.4671,2564.53,0.113,11,16,11,25-34,Male,Low Income (<30k),Gig Worker / Delivery,0.7358,0
97510.57,0.2506,0.7763,1,68,436.8,0.5766,0.8757,0.6468,0.6506,0.6159,15.11,0.6377,24251.17,0.2487,34,43,30,25-34,Female,Upper Middle (>80k),Informal MSME / Shopkeeper,0.9508,1
50031.51,0.7417,0.3238,4,58,490.61,0.4128,0.8322,0.3162,0.373,0.3827,27.96,0.3573,5765.49,0.1152,8,17,5,25-34,Male,Middle Income (30k-80k),Freelancer / Creator,0.1016,0
14317.09,0.4462,0.6471,1,45,153.39,0.6488,0.9443,0.5263,0.5605,0.5671,20.28,0.5513,2651.21,0.1852,29,40,29,25-34,Female,Low Income (<30k),Student / First-time Earner,0.7338,1
37096.38,0.4986,0.4612,2,60,496.05,0.5139,0.9691,0.4049,0.3554,0.4147,28.07,0.3916,2945.99,0.0794,39,45,39,<25,Male,Middle Income (30k-80k),Freelancer / Creator,0.4187,0
48371.33,0.3942,0.6825,2,74,225.15,0.7024,0.5258,0.4861,0.4955,0.5813,18.02,0.521,8797.84,0.1819,32,40,28,25-34,Female,Middle Income (30k-80k),Freelancer / Creator,0.693,1
36670.37,0.4671,0.5686,1,68,684.14,0.8378,0.7685,0.638,0.6193,0.6208,14.13,0.626,8255.53,0.2251,15,27,14,25-34,Male,Middle Income (30k-80k),Informal MSME / Shopkeeper,0.8771,1
45265.65,0.2103,0.8371,1,63,358.67,0.6549,0.8779,0.62,0.6043,0.6051,14.81,0.6098,11388.56,0.2516,19,21,19,25-34,Female,Middle Income (30k-80k),Salaried Entry-level,0.9769,1
29262.17,0.4045,0.583,2,58,297.56,0.4493,0.7449,0.4296,0.3941,0.4839,21.22,0.4358,3980.74,0.136,24,27,23,35-49,Male,Low Income (<30k),Freelancer / Creator,0.4168,1
33633.1,0.2161,0.8639,1,56,204.64,0.7044,0.871,0.7631,0.8025,0.7716,11.18,0.7791,8821.58,0.2623,13,21,12,<25,Female,Middle Income (30k-80k),Gig Worker / Delivery,0.9775,1
31031.77,0.5375,0.5209,2,52,219.95,0.5543,0.494,0.4625,0.4657,0.5074,23.18,0.4785,5441.81,0.1754,50,60,45,25-34,Male,Middle Income (30k-80k),Salaried Entry-level,0.6555,1
75115.09,0.2965,0.8027,1,66,548.35,0.5967,0.7999,0.6479,0.5823,0.5455,16.53,0.5919,18736.73,0.2494,23,34,19,25-34,Male,Middle Income (30k-80k),Freelancer / Creator,0.9407,1
47676.23,0.6157,0.5121,3,41,463.1,0.1664,0.9058,0.2838,0.2756,0.2663,28.09,0.2752,6187.9,0.1298,29,32,26,<25,Female,Middle Income (30k-80k),Gig Worker / Delivery,0.2567,1
54200.23,0.5757,0.445,1,63,448.44,0.8194,0.7206,0.3149,0.3555,0.2958,25.07,0.3221,8675.41,0.1601,27,44,23,25-34,Male,Middle Income (30k-80k),Informal MSME / Shopkeeper,0.2635,1
39874.19,0.3046,0.7617,1,61,445.54,0.2297,0.6582,0.5745,0.479,0.6042,15.74,0.5526,8647.84,0.2169,15,28,15,<25,Male,Middle Income (30k-80k),Gig Worker / Delivery,0.7804,0
17378.81,0.2252,0.8112,1,53,150.0,0.7183,0.6512,0.6907,0.6375,0.6464,12.18,0.6582,5383.76,0.3098,28,34,23,<25,Female,Low Income (<30k),Student / First-time Earner,0.9129,1
30542.89,0.3631,0.7422,1,55,409.41,0.6108,0.674,0.6848,0.6583,0.6711,13.51,0.6714,11283.2,0.3694,19,31,14,50+,Male,Middle Income (30k-80k),Informal MSME / Shopkeeper,0.9449,1
13888.62,0.298,0.7944,1,58,150.0,0.7768,0.7491,0.5511,0.5939,0.579,19.01,0.5746,4062.18,0.2925,38,43,35,50+,Male,Low Income (<30k),Student / First-time Earner,0.9248,1
61422.99,0.6049,0.2962,2,59,278.34,0.6811,0.9604,0.3445,0.2744,0.4075,25.2,0.3421,5064.58,0.0825,23,37,18,35-49,Male,Middle Income (30k-80k),Freelancer / Creator,0.4295,1
16468.43,0.2559,0.6943,3,52,150.0,0.6427,0.848,0.5861,0.5225,0.6125,15.06,0.5737,4524.92,0.2748,35,39,30,25-34,Female,Low Income (<30k),Student / First-time Earner,0.857,1
28380.63,0.6064,0.4771,1,52,379.8,0.511,0.99,0.4509,0.4379,0.361,21.13,0.4166,2596.36,0.0915,23,39,20,<25,Male,Low Income (<30k),Gig Worker / Delivery,0.5247,0
